order_id,product_id,quantity
1,41,3
1,75,1
2,75,3
2,99,1
3,141,3
4,71,1
4,79,5
4,159,5
5,148,4
5,74,1
5,62,5
5,67,1
5,111,3
6,122,3
6,153,4
6,12,4
6,132,3
7,117,2
7,136,2
7,9,2
7,90,2
7,53,3
8,26,1
8,69,2
8,187,1
8,94,1
9,173,3
9,175,4
10,56,4
10,141,1
10,57,4
11,74,4
12,22,5
12,133,2
12,139,5
12,190,3
13,149,4
13,49,1
13,13,3
13,141,5
13,57,4
14,114,5
14,33,3
14,151,1
14,2,3
14,93,4
15,105,1
15,200,5
16,145,3
17,95,4
17,152,5
18,179,5
18,111,3
18,113,5
18,12,4
18,118,5
19,103,3
19,165,4
19,141,5
19,39,4
20,141,5
20,69,5
20,30,3
20,182,4
20,116,2
21,28,1
21,11,1
21,33,2
22,50,3
22,125,2
23,107,5
23,99,4
23,150,1
23,182,3
24,45,5
24,144,2
24,186,1
24,180,1
24,183,2
25,125,4
25,174,3
25,14,1
26,66,1
27,138,1
27,128,5
28,21,2
28,77,2
29,30,5
29,167,1
29,122,5
29,22,2
30,179,5
31,65,2
31,164,4
32,28,5
32,96,2
32,65,2
32,32,1
32,156,5
33,171,4
33,20,1
33,44,2
33,139,4
33,4,3
34,48,3
34,191,4
34,42,5
35,138,1
35,98,2
35,67,3
35,185,5
35,29,1
36,191,5
36,93,4
36,10,2
37,115,3
37,183,2
37,114,5
38,116,5
38,40,4
38,83,4
39,139,4
39,135,5
39,21,3
40,64,1
40,44,2
40,56,2
40,105,3
40,185,2
41,56,5
41,23,5
41,175,3
42,1,1
42,149,2
43,105,4
43,87,2
43,121,3
43,162,1
43,65,3
44,125,2
44,93,4
44,40,4
44,9,3
44,2,4
45,141,3
45,178,4
45,179,5
45,181,3
46,67,2
46,14,4
46,106,2
47,95,2
48,10,2
48,161,5
48,199,2
48,141,4
48,189,4
49,51,4
49,69,5
49,74,1
50,91,1
50,83,5
50,136,1
51,179,4
51,170,4
51,145,4
52,75,4
52,127,5
52,164,1
52,180,4
53,50,1
53,84,3
53,93,3
53,173,2
53,179,1
54,82,1
54,185,1
54,126,3
55,49,1
55,196,5
55,13,2
56,120,2
56,149,3
56,111,1
57,150,3
57,80,1
57,156,1
58,172,5
58,8,5
59,179,1
59,128,1
59,74,4
59,39,2
60,16,1
60,191,1
60,108,3
60,72,2
60,5,4
61,54,3
61,47,2
61,133,3
61,161,2
62,16,5
63,42,5
64,55,4
64,140,4
64,148,3
64,91,4
64,93,3
65,176,1
65,40,4
65,178,1
66,89,5
66,189,2
66,128,3
67,45,1
67,124,4
67,86,1
67,38,1
67,61,5
68,141,3
68,178,3
68,199,2
69,97,1
69,144,2
70,191,4
71,86,4
71,182,5
71,123,2
71,2,5
71,152,1
72,163,3
72,26,1
72,107,4
72,111,2
72,29,1
73,158,3
74,27,1
75,91,1
75,8,4
75,177,5
75,165,3
75,23,2
76,144,4
76,94,2
76,13,4
77,197,3
77,120,2
77,131,1
77,155,5
78,154,2
78,117,2
78,180,5
78,148,3
78,138,3
79,23,3
79,146,3
80,2,1
81,131,4
82,45,5
83,151,4
83,199,1
83,2,3
83,72,4
83,127,4
84,72,2
84,70,1
84,168,3
85,58,5
85,9,2
85,57,5
85,176,1
85,80,4
86,103,3
86,181,5
86,152,2
86,192,4
87,38,1
87,183,3
87,6,2
87,43,2
88,150,1
88,97,5
88,38,3
89,81,5
90,27,2
90,96,2
91,63,2
91,14,3
91,40,2
92,199,3
92,111,4
93,13,4
93,101,1
93,198,4
94,181,4
94,23,5
94,60,3
94,121,4
95,83,1
95,158,5
95,54,2
95,45,5
95,70,3
96,136,1
96,86,5
96,109,1
96,152,2
96,76,4
97,127,5
97,94,4
97,80,3
97,117,1
97,164,3
98,48,5
98,54,5
98,107,2
99,26,5
100,32,1
101,107,1
101,28,1
101,85,3
101,120,1
101,100,2
102,167,2
102,132,2
102,179,1
103,33,4
103,113,2
103,169,4
104,97,2
104,164,1
104,136,1
104,174,1
104,172,1
105,162,5
105,140,1
105,93,4
105,170,5
105,41,2
106,34,1
106,25,1
107,167,2
107,55,5
107,159,2
108,43,3
108,7,5
108,114,5
109,73,1
109,161,3
110,178,2
111,27,5
111,1,2
111,188,3
112,59,5
112,41,3
112,31,1
112,113,2
112,149,3
113,185,5
113,176,2
114,84,1
114,26,4
115,158,4
116,53,1
117,163,4
117,14,2
117,110,1
117,187,3
117,9,2
118,131,1
118,127,5
119,73,3
120,23,2
120,73,5
120,44,2
120,32,3
121,105,2
122,79,2
122,37,1
122,49,2
123,122,2
123,8,3
124,183,2
124,40,2
124,4,3
125,162,2
125,80,3
126,46,5
127,107,3
127,123,4
128,110,1
129,28,5
129,146,1
130,166,3
130,111,1
130,148,3
130,76,2
131,3,1
132,98,2
132,153,3
132,121,1
132,118,4
132,5,5
133,31,4
133,193,3
133,10,5
133,20,1
133,146,5
134,44,3
135,106,3
135,82,4
135,158,3
136,63,4
136,173,4
136,132,4
136,31,1
136,191,4
137,165,1
137,97,4
137,181,1
138,35,1
138,187,4
138,32,3
138,97,1
138,67,2
139,189,2
139,169,1
139,134,4
139,127,3
140,68,5
140,83,5
140,200,3
140,155,1
141,13,2
141,93,4
141,120,2
141,52,2
141,7,1
142,24,5
142,172,2
143,183,2
144,82,3
144,137,1
144,176,3
145,193,3
145,74,4
145,48,2
145,124,5
146,74,2
146,21,5
146,38,2
147,48,3
147,112,4
148,29,3
149,169,5
149,199,2
149,159,1
149,88,2
150,82,4
150,162,5
151,96,1
151,35,1
151,171,3
151,23,5
151,100,5
152,106,2
153,59,5
153,158,3
153,52,2
153,85,3
154,109,3
154,157,3
154,156,1
154,120,1
154,136,5
155,123,5
155,184,4
156,133,5
156,92,1
156,58,3
156,163,3
157,80,5
157,127,2
157,35,4
158,72,1
158,150,3
158,97,3
158,40,5
159,135,2
159,38,3
160,51,4
161,160,4
161,7,2
161,5,1
161,62,1
161,101,1
162,85,2
162,148,1
163,57,4
163,17,5
163,82,4
163,19,4
164,144,4
164,161,5
164,67,1
164,131,4
165,96,5
166,126,1
166,196,2
166,56,2
166,166,2
166,45,5
167,40,2
167,154,3
168,153,1
168,82,1
168,68,2
168,27,1
169,83,3
169,82,1
169,185,3
169,102,2
170,200,1
170,5,4
170,12,3
170,116,4
171,118,2
171,177,4
171,168,2
172,32,1
172,76,1
172,173,4
172,167,5
172,111,4
173,58,5
173,164,3
173,62,1
174,123,1
175,8,3
175,132,2
176,141,4
177,42,4
177,163,2
177,198,1
177,76,5
178,20,3
178,155,1
178,104,3
178,88,4
178,100,4
179,33,1
179,194,1
179,31,3
179,131,4
180,185,2
181,53,5
181,60,3
181,52,3
181,120,4
181,150,5
182,145,2
182,40,4
182,37,4
182,127,1
183,51,1
183,157,2
183,23,3
183,191,1
184,37,2
184,140,4
184,131,5
184,177,3
185,146,3
185,136,5
185,178,5
186,193,4
186,174,5
187,66,4
187,62,2
188,146,5
188,65,2
188,19,2
189,109,2
189,9,2
189,137,5
190,28,3
190,160,2
190,185,3
190,14,1
191,57,3
191,172,5
192,18,1
192,189,3
192,29,3
193,104,5
193,31,1
193,65,4
193,18,2
194,156,2
195,17,1
195,131,5
195,38,3
196,115,4
196,77,1
196,13,4
196,10,1
197,145,1
197,169,1
197,99,1
197,181,3
197,2,5
198,182,2
198,18,4
198,175,4
198,193,1
199,6,4
199,24,4
199,2,1
199,102,3
199,185,5
200,171,2
200,200,3
200,3,2
201,102,2
202,171,3
202,187,5
202,124,3
202,144,1
203,200,4
203,183,1
203,15,4
203,137,3
203,45,3
204,140,5
204,1,2
204,27,1
205,134,5
206,44,1
206,124,3
207,3,1
207,46,3
207,160,3
208,31,5
208,99,5
208,90,5
209,148,5
209,51,5
210,177,1
210,190,5
210,181,4
