purchase_order_id,supplier_id,product_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,purchase_order_status,unit_cost
1,232,354,2022-12-07,2022-12-28,2022-12-29,385,Received,199.83
2,163,534,2016-10-15,2016-11-04,NULL,278,Ordered,129.59
3,165,908,2019-04-16,2019-05-27,2019-05-25,2269,Received,27.83
4,80,244,2018-10-09,2018-10-24,2018-11-01,1216,Received,96.8
5,106,1877,2023-11-27,2024-01-06,2024-01-12,990,Received,79.13
6,127,830,2023-04-22,2023-05-06,NULL,965,Ordered,172.44
7,107,469,2025-06-18,2025-07-23,2025-07-23,1578,Received,34.98
8,102,1620,2017-05-29,2017-06-18,2017-06-16,1608,Received,41.75
9,102,646,2020-10-04,2020-11-03,NULL,2396,Pending,7.76
10,175,1128,2016-11-01,2016-11-22,2016-11-25,400,Delayed,85.42
11,14,553,2018-09-22,2018-10-29,2018-11-06,777,Received,108.89
12,11,659,2021-08-05,2021-09-02,NULL,1153,Ordered,36.5
13,220,1142,2016-10-20,2016-11-09,2016-11-13,473,Received,10.29
14,242,1161,2018-07-12,2018-08-05,2018-08-05,2999,Received,15.48
15,127,150,2023-01-15,2023-02-02,2023-02-01,601,Received,174.72
16,183,1819,2021-12-27,2022-01-20,2022-01-21,755,Received,110.21
17,72,84,2018-09-29,2018-10-27,NULL,214,Ordered,7.57
18,39,1346,2022-06-07,2022-07-05,NULL,510,Pending,29.13
19,51,457,2024-08-19,2024-09-19,2024-09-25,1488,Received,34.0
20,87,635,2016-08-08,2016-09-04,NULL,1416,Ordered,28.68
21,18,46,2024-08-06,2024-09-18,2024-09-17,1249,Received,234.87
22,14,1188,2023-07-10,2023-08-09,NULL,697,Ordered,75.34
23,160,1215,2019-12-10,2020-01-18,2020-01-17,286,Received,45.41
24,223,1670,2018-02-03,2018-02-20,NULL,427,Pending,161.21
25,160,1526,2026-02-10,2026-03-23,2026-03-26,1058,Received,107.19
26,9,1500,2019-11-27,2019-12-27,2020-01-06,796,Delayed,73.16
27,212,1176,2017-06-19,2017-07-10,NULL,646,Ordered,39.45
28,110,1600,2017-07-04,2017-08-08,2017-08-11,213,Received,23.41
29,250,1358,2025-01-05,2025-02-04,2025-02-13,317,Delayed,12.77
30,24,560,2022-07-30,2022-09-01,NULL,507,Pending,126.37
31,151,662,2024-08-11,2024-09-03,2024-09-02,1186,Received,225.11
32,196,667,2023-11-02,2023-11-16,2023-11-20,843,Received,202.11
33,232,800,2021-11-25,2021-12-28,2021-12-28,261,Received,189.15
34,210,914,2026-04-09,2026-04-28,NULL,878,Ordered,38.66
35,87,1614,2020-04-28,2020-05-20,2020-05-24,438,Received,27.41
36,95,1924,2022-01-22,2022-02-21,2022-02-27,1067,Received,17.41
37,39,932,2024-10-31,2024-11-26,NULL,787,Ordered,90.43
38,166,1859,2022-09-22,2022-10-29,2022-11-03,607,Received,46.2
39,116,220,2025-02-26,2025-03-26,2025-03-23,335,Received,107.04
40,76,1701,2022-04-25,2022-05-23,2022-05-31,334,Received,120.93
41,24,1417,2023-08-02,2023-08-20,2023-08-30,1152,Delayed,142.16
42,17,187,2016-12-30,2017-01-28,2017-02-01,235,Received,106.91
43,34,1581,2018-10-26,2018-12-09,2018-12-13,2059,Received,121.57
44,239,1898,2019-06-08,2019-06-28,2019-07-01,520,Received,67.4
45,4,1768,2017-05-03,2017-06-15,NULL,769,Pending,24.99
46,14,1563,2018-11-13,2018-12-03,2018-12-11,982,Received,103.99
47,231,1792,2017-07-19,2017-08-08,2017-08-08,387,Received,78.84
48,142,1578,2019-04-27,2019-06-07,2019-06-11,254,Received,73.02
49,14,161,2022-11-24,2023-01-05,NULL,200,Pending,41.83
50,206,398,2020-03-09,2020-03-26,NULL,115,Ordered,76.08
51,136,1307,2020-03-29,2020-04-17,2020-04-27,1864,Delayed,15.87
52,202,1502,2018-08-20,2018-10-04,2018-10-14,160,Received,109.27
53,177,1355,2019-03-18,2019-04-11,2019-04-14,1031,Received,68.87
54,5,1626,2025-11-27,2025-12-29,2026-01-06,4486,Received,91.01
55,10,1090,2023-01-08,2023-01-31,2023-01-31,1286,Received,56.49
56,17,1570,2022-08-19,2022-09-05,NULL,698,Ordered,89.33
57,43,291,2018-04-02,2018-05-16,2018-05-26,432,Received,40.7
58,131,1050,2023-10-31,2023-11-19,NULL,239,Pending,68.82
59,54,1758,2018-03-04,2018-04-02,2018-04-08,708,Received,92.03
60,39,1272,2020-05-02,2020-05-18,2020-05-21,678,Received,45.52
61,8,1783,2026-06-08,2026-07-12,2026-07-12,743,Delayed,31.58
62,91,373,2022-12-09,2023-01-07,2023-01-06,714,Received,173.27
63,47,366,2022-02-09,2022-03-24,2022-04-02,109,Received,108.14
64,34,134,2023-05-21,2023-07-03,2023-07-09,1100,Received,92.5
65,115,290,2024-12-19,2025-01-15,2025-01-14,240,Received,90.67
66,4,598,2024-04-19,2024-05-18,2024-05-17,656,Received,57.09
67,166,630,2018-10-30,2018-12-02,2018-12-11,116,Received,62.38
68,66,1310,2016-11-10,2016-12-13,2016-12-11,237,Delayed,31.47
69,160,1057,2019-09-11,2019-10-11,2019-10-09,418,Received,141.25
70,75,1928,2019-03-21,2019-04-21,2019-04-21,2167,Received,79.86
71,243,1773,2018-08-25,2018-09-24,2018-09-25,204,Received,122.19
72,50,515,2025-12-20,2026-01-08,2026-01-18,529,Received,21.65
73,163,1736,2025-04-21,2025-05-26,NULL,636,Ordered,62.6
74,145,97,2019-09-08,2019-10-02,NULL,1951,Ordered,3.3
75,20,729,2023-02-04,2023-02-18,2023-02-26,1217,Received,208.42
76,154,1496,2020-06-30,2020-07-16,NULL,403,Pending,128.59
77,205,845,2025-09-07,2025-10-18,2025-10-19,181,Received,80.62
78,14,821,2021-02-16,2021-03-24,2021-03-24,462,Received,72.19
79,5,1824,2019-03-10,2019-04-19,2019-04-27,2439,Delayed,50.46
80,242,1499,2019-01-02,2019-01-26,2019-02-04,1888,Delayed,15.47
81,244,1438,2022-02-25,2022-03-12,2022-03-14,521,Received,24.25
82,245,1566,2019-03-02,2019-03-31,2019-04-09,883,Received,24.25
83,114,1472,2022-05-21,2022-06-06,NULL,1042,Pending,22.35
84,222,1183,2025-07-08,2025-08-13,2025-08-22,556,Received,156.21
85,183,121,2020-07-14,2020-07-29,NULL,385,Ordered,70.35
86,144,1735,2018-09-25,2018-10-13,2018-10-14,1143,Delayed,26.61
87,15,1283,2026-07-08,2026-08-16,NULL,778,Ordered,80.05
88,147,1862,2021-08-20,2021-09-04,2021-09-05,371,Received,103.67
